2024-12-02 22:08:10,212 INFO    StreamThr :1451551 [internal.py:wandb_internal():85] W&B internal server running at pid: 1451551, started at: 2024-12-02 22:08:10.211638
2024-12-02 22:08:10,213 DEBUG   HandlerThread:1451551 [handler.py:handle_request():158] handle_request: status
2024-12-02 22:08:10,214 INFO    WriterThread:1451551 [datastore.py:open_for_write():87] open: /home/ge54xof/dino-tum/dinov2/train/wandb/run-20241202_220810-8wpp99kl/run-8wpp99kl.wandb
2024-12-02 22:08:10,215 DEBUG   SenderThread:1451551 [sender.py:send():391] send: header
2024-12-02 22:08:10,215 DEBUG   SenderThread:1451551 [sender.py:send():391] send: run
2024-12-02 22:08:10,582 INFO    SenderThread:1451551 [dir_watcher.py:__init__():211] watching files in: /home/ge54xof/dino-tum/dinov2/train/wandb/run-20241202_220810-8wpp99kl/files
2024-12-02 22:08:10,582 INFO    SenderThread:1451551 [sender.py:_start_run_threads():1200] run started: 8wpp99kl with start time 1733173690.211286
2024-12-02 22:08:10,590 DEBUG   HandlerThread:1451551 [handler.py:handle_request():158] handle_request: run_start
2024-12-02 22:08:10,662 DEBUG   HandlerThread:1451551 [system_info.py:__init__():26] System info init
2024-12-02 22:08:10,662 DEBUG   HandlerThread:1451551 [system_info.py:__init__():41] System info init done
2024-12-02 22:08:10,662 INFO    HandlerThread:1451551 [system_monitor.py:start():194] Starting system monitor
2024-12-02 22:08:10,662 INFO    SystemMonitor:1451551 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-12-02 22:08:10,662 INFO    HandlerThread:1451551 [system_monitor.py:probe():214] Collecting system info
2024-12-02 22:08:10,663 INFO    SystemMonitor:1451551 [interfaces.py:start():188] Started cpu monitoring
2024-12-02 22:08:10,663 INFO    SystemMonitor:1451551 [interfaces.py:start():188] Started disk monitoring
2024-12-02 22:08:10,665 INFO    SystemMonitor:1451551 [interfaces.py:start():188] Started gpu monitoring
2024-12-02 22:08:10,665 INFO    SystemMonitor:1451551 [interfaces.py:start():188] Started memory monitoring
2024-12-02 22:08:10,666 INFO    SystemMonitor:1451551 [interfaces.py:start():188] Started network monitoring
2024-12-02 22:08:10,724 DEBUG   HandlerThread:1451551 [system_info.py:probe():152] Probing system
2024-12-02 22:08:10,726 DEBUG   HandlerThread:1451551 [system_info.py:_probe_git():137] Probing git
2024-12-02 22:08:10,729 DEBUG   HandlerThread:1451551 [system_info.py:_probe_git():145] Probing git done
2024-12-02 22:08:10,729 DEBUG   HandlerThread:1451551 [system_info.py:probe():200] Probing system done
